fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.0,0.27,0.36,20.7,0.045,45.0,170.0,2.4219453633954053,-1.2951145111104152,-0.30041575927568176,-1.3891857008521038,6
6.3,0.3,0.34,1.6,0.049,14.0,132.0,-0.002039954796540423,0.8488034626280829,0.1030015293578332,-0.8176259332259534,6
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.37887202377648177,0.5629477327962827,-0.4012700814340607,-0.32771756097496735,6
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.5520138322187856,0.06270020559063402,-0.8046873700675756,-0.49102035172529557,6
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.5520138322187856,0.06270020559063402,-0.8046873700675756,-0.49102035172529557,6
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.37887202377648177,0.5629477327962827,-0.4012700814340607,-0.32771756097496735,6
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.30961530039957563,-0.00876372686731444,-0.09870711495892456,-0.7359745378507894,6
7.0,0.27,0.36,20.7,0.045,45.0,170.0,2.4219453633954053,-1.2951145111104152,-0.30041575927568176,-1.3891857008521038,6
6.3,0.3,0.34,1.6,0.049,14.0,132.0,-0.002039954796540423,0.8488034626280829,0.1030015293578332,-0.8176259332259534,6
8.1,0.22,0.43,1.5,0.044,28.0,129.0,-0.07129667817344656,0.2770920029644857,-0.30041575927568176,0.4071449974015126,6
8.1,0.27,0.41,1.45,0.033,11.0,63.0,-1.110147528827154,-1.3665784435683637,0.8089817844664854,1.2236589511531566,5
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.24035857702266952,-0.2946194566991146,0.5064188179913488,-0.6543231424756253,5
7.9,0.18,0.37,1.2,0.04,16.0,75.0,-0.6946071885656787,-0.00876372686731444,1.5149620395751364,0.24384220665118436,5
6.6,0.16,0.4,1.5,0.044,48.0,143.0,-0.9716340820733417,2.563937841618884,0.4055644958329699,1.5502645326538145,7
8.3,0.42,0.62,19.25,0.04,41.0,172.0,2.144918469887781,-1.4380423760263152,1.918379328208652,-0.6543231424756253,5
6.6,0.17,0.38,1.5,0.032,28.0,112.0,-0.9023773586964355,0.4914838003383343,0.7081274623081065,0.7337505789021705,7
6.3,0.48,0.04,1.1,0.046,30.0,99.0,-0.4175802950580157,0.4200198678803858,-1.2081046587010913,-0.7359745378507894,6
6.2,0.66,0.48,1.2,0.029,29.0,75.0,-1.66420131584248,1.0631952600019345,-0.9055416922259546,1.8768701141544724,8
7.4,0.34,0.42,1.1,0.033,17.0,171.0,-0.7984922736310379,-0.4375473216150147,0.5064188179913488,0.6520991835270064,6
6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.5173854705303326,0.2770920029644857,0.2038558515162121,-0.8176259332259534,5
6.2,0.66,0.48,1.2,0.029,29.0,75.0,-1.66420131584248,1.0631952600019345,-0.9055416922259546,1.8768701141544724,8
6.4,0.31,0.38,2.9,0.038,19.0,102.0,-0.9716340820733417,-0.08022765932526607,-1.3089589808594702,0.4071449974015126,7
6.8,0.26,0.42,1.7,0.049,41.0,122.0,-0.34832357168110956,2.0636903144132352,0.002147207199454319,-0.0011119794743094386,8
7.6,0.67,0.14,1.5,0.074,25.0,168.0,-0.10592503986189963,-0.9377948488206665,0.30471017367459097,-0.9809287239762817,5
6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.37887202377648177,1.7063706521234834,-0.09870711495892456,-0.4093689563501315,6
7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.5173854705303326,0.4914838003383343,0.2038558515162121,-0.08276337484947355,6
6.9,0.24,0.35,1.0,0.052,35.0,146.0,-0.34832357168110956,1.9207624494973352,-0.4012700814340607,-0.4093689563501315,6
7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.725155640661051,1.4205149222916833,0.5064188179913488,-0.0011119794743094386,6
7.4,0.27,0.48,1.1,0.047,17.0,132.0,-0.9023773586964355,0.06270020559063402,0.1030015293578332,0.8970533696524987,6
7.2,0.32,0.36,2.0,0.033,37.0,114.0,-1.1794042522040602,-0.5804751865309148,2.3217966168421666,1.4686131372786504,7
